"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP6V1C1",2.64422657966189e-64,1.23180406272079,0.767,0.475,6.26311507658714e-60,3,"ATP6V1C1"
"DCXR",4.26797427846387e-64,1.03546500806365,0.759,0.366,1.01091238759695e-59,3,"DCXR"
"ATP5G1",5.08466087154466e-64,0.98276086121426,0.801,0.385,1.20435277403407e-59,3,"ATP5G1"
"TBC1D7",5.24635538659688e-64,1.32707113513507,0.58,0.228,1.24265173686934e-59,3,"TBC1D7"
"TBX3",7.19841407402623e-64,2.29045802911737,0.261,0.052,1.70501635757385e-59,3,"TBX3"
"COX17",7.27996942273958e-64,1.08530847834123,0.721,0.33,1.7243335574701e-59,3,"COX17"
"TUBB3",9.45265724189869e-64,1.63060068607267,0.458,0.152,2.23895639431612e-59,3,"TUBB3"
"PRKAR1A",9.53751576904684e-64,0.732289536376938,0.976,0.628,2.25905598505643e-59,3,"PRKAR1A"
"PIGT",9.96798500241822e-64,0.917652573592486,0.837,0.429,2.36101692767278e-59,3,"PIGT"
"AHCYL2",1.12755834712054e-63,2.43148280152284,0.524,0.242,2.67073470098972e-59,3,"AHCYL2"
"AGTRAP",1.13623435839304e-63,1.22951234610521,0.608,0.252,2.69128470128976e-59,3,"AGTRAP"
"TMED3",1.47413312984051e-63,1.10315510218819,0.693,0.308,3.49163173134024e-59,3,"TMED3"
"KIAA0556",1.5015123920487e-63,1.76662403581183,0.446,0.151,3.55648225180654e-59,3,"KIAA0556"
"SMPDL3A",1.82347419853451e-63,1.92254732220824,0.351,0.094,4.31908098664883e-59,3,"SMPDL3A"
"FAM167B",2.25131207910727e-63,1.98860862028589,0.376,0.109,5.33245779057347e-59,3,"FAM167B"
"CTSF",2.76969614452896e-63,1.6265369172981,0.45,0.148,6.56030228793128e-59,3,"CTSF"
"ANAPC11",3.2408686570596e-63,0.888061424387119,0.875,0.436,7.67632150111138e-59,3,"ANAPC11"
"DYNC2LI1",4.18180476213346e-63,2.08150118584789,0.357,0.101,9.9050227595893e-59,3,"DYNC2LI1"
"MAN1B1",5.1336250258398e-63,1.22188883455681,0.612,0.26,1.21595042362041e-58,3,"MAN1B1"
"VANGL1",5.38439932055035e-63,1.96494977810837,0.369,0.105,1.27534882306556e-58,3,"VANGL1"
"FKBP9",6.51495476737246e-63,1.04899792963083,0.843,0.665,1.54313218619984e-58,3,"FKBP9"
"PCMT1",6.72255127500099e-63,0.917994719772767,0.819,0.41,1.59230349499673e-58,3,"PCMT1"
"DPM3",8.67261059694135e-63,1.25528966701816,0.6,0.245,2.05419454599153e-58,3,"DPM3"
"FOXO3",9.7476760990298e-63,1.2455982477015,0.655,0.317,2.3088345608162e-58,3,"FOXO3"
"PFN2",9.78579340168892e-63,1.55049623689425,0.498,0.178,2.31786302512404e-58,3,"PFN2"
"MSI2",1.02482596962938e-62,1.20466681105933,0.61,0.258,2.42740279166415e-58,3,"MSI2"
"CYHR1",1.14515749498464e-62,1.53351160365775,0.504,0.187,2.71242004262063e-58,3,"CYHR1"
"VAMP3",1.27417328252358e-62,1.1438316716494,0.647,0.275,3.01800683698535e-58,3,"VAMP3"
"CELSR1",1.27805807406382e-62,1.66980470399253,0.396,0.118,3.02720835422757e-58,3,"CELSR1"
