cancer,feature,p_discordant,p_concordant,enrichment_ratio,n_discordant,n_concordant
PAAD,loc_Primary_cilium_tip,0.006224066390041493,0.008056042031523642,0.7725960671116724,964,2855
PAAD,loc_Microtubules,0.015560165975103735,0.020315236427320492,0.7659357561882959,964,2855
PAAD,loc_Focal_adhesion_sites,0.008298755186721992,0.011208406304728547,0.7404045643153526,964,2855
PAAD,loc_Nuclear_membrane,0.013485477178423237,0.018914185639229423,0.7129821730444137,964,2855
PAAD,loc_Principal_piece,0.017634854771784232,0.025218914185639228,0.6992709774089443,964,2855
PAAD,loc_End_piece,0.00933609958506224,0.013660245183887917,0.6834503670603255,964,2855
PAAD,loc_Intermediate_filaments,0.004149377593360996,0.006654991243432574,0.6234985804760865,964,2855
PAAD,loc_Centriolar_satellite,0.007261410788381743,0.012259194395796848,0.5923236514522822,964,2855
PAAD,loc_Nucleoli_fibrillar_center,0.01037344398340249,0.018914185639229423,0.5484478254187797,964,2855
PAAD,loc_Nuclear_bodies,0.01867219917012448,0.034325744308231175,0.5439707003133203,964,2855
PAAD,loc_Calyx,0.0031120331950207467,0.005954465849387041,0.5226385159873077,964,2855
PAAD,loc_Cytokinetic_bridge,0.007261410788381743,0.014711033274956218,0.4936030428769018,964,2855
PAAD,loc_Mitochondria,0.058091286307053944,0.12014010507880911,0.4835295113896181,964,2855
PAAD,loc_Acrosome,0.002074688796680498,0.005604203152364273,0.3702022821576763,964,2855
PAAD,loc_Connecting_piece,0.0031120331950207467,0.00840630472854641,0.3702022821576763,964,2855
PAAD,loc_Mid_piece,0.007261410788381743,0.02066549912434326,0.35137843730220125,964,2855
PAAD,loc_Nuclear_speckles,0.012448132780082987,0.037478108581436076,0.33214410361810215,964,2855
PAAD,loc_Equatorial_segment,0.0,0.005253940455341506,0.0,964,2855
PRAD,loc_Predicted_to_be_secreted,0.0638063806380638,0.02336769759450172,2.730537759658319,909,2910
PRAD,loc_Intermediate_filaments,0.0121012101210121,0.004810996563573883,2.515322960867515,909,2910
PRAD,loc_Actin_filaments,0.028602860286028604,0.013058419243986255,2.1903769324300852,909,2910
PRAD,loc_Midbody,0.0033003300330033004,0.001718213058419244,1.920792079207921,909,2910
PRAD,loc_Focal_adhesion_sites,0.013201320132013201,0.007903780068728522,1.6702539819199311,909,2910
PRAD,loc_Nucleoli_rim,0.0176017601760176,0.01134020618556701,1.5521552155215521,909,2910
PRAD,loc_Annulus,0.0033003300330033004,0.0024054982817869417,1.3719943422913718,909,2910
PRAD,loc_Mitotic_chromosome,0.007700770077007701,0.006185567010309278,1.244957829116245,909,2910
PRAD,loc_Cytoplasmic_bodies,0.0044004400440044,0.003780068728522337,1.164116411641164,909,2910
PRAD,loc_Nuclear_membrane,0.019801980198019802,0.01752577319587629,1.129877693651718,909,2910
PRAD,loc_Nucleoli,0.0748074807480748,0.06804123711340206,1.0994432776610996,909,2910
PRAD,loc_Plasma_membrane,0.11551155115511551,0.10756013745704468,1.073925283902192,909,2910
