cancer,feature,n_disc_with,n_disc_total,n_conc_with,n_conc_total,oddsratio,pvalue,p_adj,significant
LIHC,loc_Golgi_apparatus,91,1096,217,2723,1.045674851548708,0.7426972550357893,0.9383408594405328,False
LIHC,loc_Intermediate_filaments,4,1096,13,2723,0.7635953789799944,0.791546351965589,0.9383408594405328,False
LIHC,loc_Microtubules,22,1096,51,2723,1.073209917113959,0.7943430786763661,0.9383408594405328,False
LIHC,loc_Primary_cilium_transition_zone,5,1096,10,2723,1.2433547204399633,0.775381068838692,0.9383408594405328,False
LIHC,loc_Principal_piece,23,1096,63,2723,0.9050429740084912,0.8094908230259557,0.9383408594405328,False
LIHC,loc_Nucleoli_rim,12,1096,34,2723,0.875515519861081,0.8697960295997798,0.9403200319997619,False
LIHC,loc_Cytoplasmic_bodies,4,1096,10,2723,0.9937728937728938,1.0,1.0,False
LIHC,loc_Nucleoli_fibrillar_center,18,1096,45,2723,0.9936920222634509,1.0,1.0,False
LIHC,loc_Perinuclear_theca,6,1096,16,2723,0.9313073394495412,1.0,1.0,False
PAAD,loc_Predicted_to_be_secreted,97,964,86,2855,3.6022772994286636,1.7087955324545128e-16,6.835182129818051e-15,True
PAAD,loc_Mitochondria,56,964,343,2855,0.45167670592466064,1.189090345969821e-08,2.378180691939642e-07,True
PAAD,loc_Nucleoplasm,281,964,1070,2855,0.6863411830708392,2.862562283781488e-06,3.8167497117086505e-05,True
PAAD,loc_Nuclear_speckles,12,964,107,2855,0.3237257519830362,3.7598564820692294e-05,0.00037598564820692294,True
PAAD,loc_Cytosol,309,964,1071,2855,0.7858190604486069,0.0024811538858287344,0.019849231086629875,True
PAAD,loc_Mid_piece,7,964,59,2855,0.3466340789543595,0.004024920032530049,0.026832800216866997,True
PAAD,loc_Plasma_membrane,152,964,348,2855,1.3485363229715193,0.005700918333337479,0.032576676190499886,True
PAAD,loc_Nuclear_bodies,18,964,98,2855,0.5352936100444406,0.01252200667633358,0.0626100333816679,False
PAAD,loc_Equatorial_segment,0,964,15,2855,0.0,0.017035103854085774,0.07571157268482566,False
PAAD,loc_Actin_filaments,25,964,41,2855,1.8273201901348086,0.021739359269195277,0.08695743707678111,False
PAAD,loc_Vesicles,148,964,356,2855,1.2731741573033708,0.024037191176738686,0.0874079679154134,False
PAAD,loc_Nucleoli_fibrillar_center,10,964,54,2855,0.5437145741128969,0.08162761537445375,0.27209205124817915,False
PAAD,loc_Cytokinetic_bridge,7,964,42,2855,0.4898989898989899,0.09630469947953134,0.2963221522447118,False
PAAD,loc_Connecting_piece,3,964,24,2855,0.36823621227887615,0.11799784500862348,0.31466092002299595,False
PAAD,loc_Endoplasmic_reticulum,53,964,200,2855,0.772310647639956,0.11558677536785472,0.31466092002299595,False
PAAD,loc_Principal_piece,17,964,72,2855,0.6938724627478587,0.2164537347828876,0.5411343369572189,False
PAAD,loc_Acrosome,2,964,16,2855,0.3688929313929314,0.27391203238476713,0.6276710118967127,False
PAAD,loc_Centriolar_satellite,7,964,35,2855,0.5893416927899686,0.28245195535352075,0.6276710118967127,False
PAAD,loc_Nuclear_membrane,13,964,54,2855,0.7090586906570082,0.3210534361803947,0.6759019709060942,False
PAAD,loc_Calyx,3,964,17,2855,0.5211483136438758,0.4385851220936602,0.6904238421214992,False
PAAD,loc_Cell_Junctions,23,964,56,2855,1.2216676787611962,0.4328900467374887,0.6904238421214992,False
PAAD,loc_End_piece,9,964,39,2855,0.6804671768022553,0.40245752574626503,0.6904238421214992,False
PAAD,loc_Microtubules,15,964,58,2855,0.762236110606446,0.41506171999862795,0.6904238421214992,False
PAAD,loc_Mitotic_chromosome,6,964,12,2855,1.4838204592901878,0.42043818641521025,0.6904238421214992,False
PAAD,loc_Nucleoli,71,964,189,2855,1.121515372355238,0.41696484299043535,0.6904238421214992,False
PAAD,loc_Perinuclear_theca,7,964,14,2855,1.4843260188087775,0.4487754973789745,0.6904238421214992,False
