gene,cancer,protein_detected,detected_fraction,total_patients,rna_log2fc,tumor_log2tpm_mean,normal_log2tpm_mean,gene_length,gene_type,protein_coding,high_rna,discordant
CSK,BRCA,0,0.2222222222222222,9,0.7319674491882324,5.384409427642822,4.65244197845459,21142.0,protein_coding,1.0,True,True
CPQ,BRCA,0,0.0,11,-0.1788139343261718,4.810004234313965,4.988818168640137,504428.0,protein_coding,1.0,True,True
PLAT,BRCA,0,0.0,12,0.511744499206543,5.346595764160156,4.834851264953613,32492.0,protein_coding,1.0,True,True
GFUS,BRCA,0,0.1818181818181818,11,1.2746872901916504,6.798707485198975,5.524020195007324,,,,True,True
LEPROTL1,BRCA,0,0.0,11,0.8220300674438477,5.123394966125488,4.301364898681641,81811.0,protein_coding,1.0,True,True
DCTN6,BRCA,0,0.4,10,-0.3441672325134277,5.027750015258789,5.371917247772217,27344.0,protein_coding,1.0,True,True
MAN2B1,BRCA,0,0.3,10,0.870307445526123,6.000036716461182,5.129729270935059,20232.0,protein_coding,1.0,True,True
FCGRT,BRCA,0,0.0,12,-0.8910231590270996,6.75670051574707,7.64772367477417,19518.0,protein_coding,1.0,True,True
POLR2I,BRCA,0,0.25,12,0.3412938117980957,6.489920139312744,6.148626327514648,1637.0,protein_coding,1.0,True,True
PRKD2,BRCA,0,0.5,12,-0.3063368797302246,5.1045989990234375,5.410935878753662,42853.0,protein_coding,1.0,True,True
CYTH2,BRCA,0,0.0833333333333333,12,0.0943274497985839,5.799700736999512,5.705373287200928,13283.0,protein_coding,1.0,True,True
CAPS,BRCA,0,0.0,11,0.8922228813171387,4.957894802093506,4.065671920776367,4502.0,protein_coding,1.0,True,True
ISYNA1,BRCA,0,0.3333333333333333,12,0.1296033859252929,5.583380222320557,5.453776836395264,3914.0,protein_coding,1.0,True,True
NAMPT,BRCA,0,0.2,10,-0.9495339393615724,5.384099006652832,6.333632946014404,38042.0,protein_coding,1.0,True,True
CAV1,BRCA,0,0.0,12,-2.811814308166504,4.956867218017578,7.768681526184082,36400.0,protein_coding,1.0,True,True
SFRP4,BRCA,0,0.0,12,0.1360764503479004,5.108831405639648,4.972754955291748,119764.0,protein_coding,1.0,True,True
MRPL32,BRCA,0,0.2727272727272727,11,0.2130780220031738,5.674747943878174,5.461669921875,16759.0,protein_coding,1.0,True,True
TMEM248,BRCA,0,0.3333333333333333,12,0.6072788238525391,5.824137210845947,5.216858386993408,37327.0,protein_coding,1.0,True,True
PTGR1,BRCA,0,0.4166666666666667,12,0.0279536247253417,5.370860576629639,5.342906951904297,50134.0,protein_coding,1.0,True,True
ENG,BRCA,0,0.0,10,-1.386406421661377,5.731874465942383,7.11828088760376,39745.0,protein_coding,1.0,True,True
ACTA2,BRCA,0,0.0,11,-1.382455825805664,8.173394203186035,9.5558500289917,56317.0,protein_coding,1.0,True,True
LIPA,BRCA,0,0.0,9,0.1635818481445312,5.465208530426025,5.301626682281494,200989.0,protein_coding,1.0,True,True
FBXW4,BRCA,0,0.0,11,0.0019392967224121,5.318937301635742,5.31699800491333,84632.0,protein_coding,1.0,True,True
CUEDC2,BRCA,0,0.0,11,0.0756072998046875,5.6843581199646,5.608750820159912,9417.0,protein_coding,1.0,True,True
XPNPEP1,BRCA,0,0.0833333333333333,12,-0.2346272468566894,4.8857421875,5.1203694343566895,58788.0,protein_coding,1.0,True,True
UBE2S,BRCA,0,0.0833333333333333,12,2.312522649765014,5.527812480926514,3.215289831161499,8033.0,protein_coding,1.0,True,True
ZMIZ1,BRCA,0,0.2,10,0.3116598129272461,5.284155368804932,4.9724955558776855,247494.0,protein_coding,1.0,True,True
TSPAN14,BRCA,0,0.2727272727272727,11,-0.7226810455322266,5.592928886413574,6.315609931945801,78958.0,protein_coding,1.0,True,True
CASC3,BRCA,0,0.0909090909090909,11,-0.5382037162780762,5.439948558807373,5.978152275085449,31866.0,protein_coding,1.0,True,True
DHX40,BRCA,0,0.2727272727272727,11,0.6617984771728516,4.823646545410156,4.161848068237305,42821.0,protein_coding,1.0,True,True
PSMD11,BRCA,0,0.0,12,1.0042619705200195,6.169606685638428,5.165344715118408,39058.0,protein_coding,1.0,True,True
LGALS3BP,BRCA,0,0.25,12,1.0861577987670898,8.384567260742188,7.298409461975098,8872.0,protein_coding,1.0,True,True
PRKAR1A,BRCA,0,0.3636363636363636,11,-0.1110901832580566,6.811713695526123,6.92280387878418,39540.0,protein_coding,1.0,True,True
TNFAIP1,BRCA,0,0.0,12,0.0181593894958496,4.780228614807129,4.762069225311279,11408.0,protein_coding,1.0,True,True
SUPT6H,BRCA,0,0.5,12,-0.1058907508850097,5.048768043518066,5.154658794403076,40594.0,protein_coding,1.0,True,True
SLAIN2,BRCA,0,0.25,12,0.7782754898071289,5.055351734161377,4.277076244354248,84891.0,protein_coding,1.0,True,True
TBC1D9,BRCA,0,0.3636363636363636,11,1.5379958152770996,5.942027568817139,4.404031753540039,135356.0,protein_coding,1.0,True,True
MFSD10,BRCA,0,0.3333333333333333,12,-0.4630441665649414,5.84006929397583,6.303113460540772,4299.0,protein_coding,1.0,True,True
CRYAB,BRCA,0,0.0,11,-3.234401226043701,5.577367305755615,8.811768531799316,15158.0,protein_coding,1.0,True,True
MTCH2,BRCA,0,0.3333333333333333,12,1.4649152755737305,6.541356086730957,5.076440811157227,25309.0,protein_coding,1.0,True,True
EHD1,BRCA,0,0.0,12,0.4068174362182617,4.945880889892578,4.539063453674316,36655.0,protein_coding,1.0,True,True
DDX6,BRCA,0,0.1111111111111111,9,0.7988686561584473,5.2151408195495605,4.416272163391113,43384.0,protein_coding,1.0,True,True
CD81,BRCA,0,0.1666666666666666,12,-0.5322723388671875,9.069494247436523,9.601766586303713,21243.0,protein_coding,1.0,True,True
C11ORF58,BRCA,0,0.0909090909090909,11,0.4577040672302246,7.17788553237915,6.720181465148926,143750.0,protein_coding,1.0,True,True
RPS13,BRCA,0,0.3636363636363636,11,0.0002470016479492,10.164864540100098,10.164617538452148,3399.0,protein_coding,1.0,True,True
NDUFS8,BRCA,0,0.0,12,0.4832634925842285,6.99261999130249,6.509356498718262,6028.0,protein_coding,1.0,True,True
VWF,BRCA,0,0.1,10,-2.493051052093506,4.907865524291992,7.400916576385498,175897.0,protein_coding,1.0,True,True
TNS2,BRCA,0,0.0909090909090909,11,-3.255586624145508,4.718143939971924,7.973730564117432,17404.0,protein_coding,1.0,True,True
ARPC3,BRCA,0,0.4166666666666667,12,0.9212899208068848,8.340452194213867,7.419162273406982,15598.0,protein_coding,1.0,True,True
ALDH2,BRCA,0,0.0833333333333333,12,-1.4454822540283203,5.8621439933776855,7.307626247406006,50643.0,protein_coding,1.0,True,True
LTBR,BRCA,0,0.1666666666666666,12,-0.1939573287963867,6.218892574310303,6.4128499031066895,16527.0,protein_coding,1.0,True,True
CAND1,BRCA,0,0.3,10,0.8721842765808105,5.7055745124816895,4.833390235900879,50671.0,protein_coding,1.0,True,True
KRR1,BRCA,0,0.1818181818181818,11,0.5423665046691895,5.014771938323975,4.472405433654785,20776.0,protein_coding,1.0,True,True
